"TweetID (S)","bot_score (N)","created_at (S)","favorite_count (N)","followers (N)","following (N)","lang (S)","location (S)","reply_count (N)","retweet_count (N)","retweeted_status (NULL)","sentiment (S)","sentiment_score (N)","text (S)","topic (L)","user_type (S)","username (S)"
"1106705761118445568","0.07651310672792835","2019-03-15 23:56:29","0","680","1038","en","West Chester, PA","0","0","true","Neutral","0","YAAAAAAA","[]","Human","bmo0requeer"
"1106802954160398337","0.11956986651967942","2019-03-16 06:22:42","0","4047","2610","ja","Tokyo,Japan","0","0","true","Negative","-0.8999999761581421","思想や主義主張はともかく、イカサマ医療本は人の命をダイレクトに脅かすので、日本でも同じようにしてほしいくらい。出版の自由はあるとはいえ、イカサマ医療本は詐欺罪に問われないのだろうか？","[]","Human","radioya"
"1106686409551810561","0.300816711527256","2019-03-15 22:39:35","0","7228","1644","en","Washington, DC","0","0","true","Neutral","-0.20000000298023224","Ohhh my..Another reason to stop buying from Amazon.","abortion","Human","anhusa"
"1106688764888449024","0.08899515596679244","2019-03-15 22:48:57","0","130","112","en","true","0","0","true","Negative","-0.4000000059604645","No","abortion","Human","Mr_PushaMan"
"1106691788943835137","0.027614042942260764","2019-03-15 23:00:58","0","113","124","en","Brooklyn, NY","0","0","true","Neutral","0.10000000149011612","can:... New York... be next...?","abortion","Human","sandraamaeee"
"1106745095485718528","0.041106740219567735","2019-03-16 02:32:47","0","975","990","en","Oakland, CA","0","0","true","Neutral","0.10000000149011612","Y’all know snoop exist right ?","abortion","Human","iamjuuprince"
"1106784602839019521","0.7855076010068447","2019-03-16 05:09:47","0","705","803","en","Mamou, LA","0","0","true","Neutral","0.20000000298023224","🙏🏻🙏🏻 https://t.co/DWDpKfwqnZ","abortion","Bot","therealeminent"
"1106841381039943682","0.11116719108518804","2019-03-16 08:55:24","0","97","38","en","Federal Capital Territory, Nig","0","0","true","Positive","0.5","Nigga u got this revelation while smoking right","abortion","Human","PVakporaye"
"1106674581253877760","0.06078011352084069","2019-03-15 21:52:35","0","549","417","en","NEW JERSEY","0","0","true","Positive","0.699999988079071","I just cried from happiness.","aids","Human","bianca2turnt"
"1106682739342934017","0.8762045479593887","2019-03-15 22:25:00","0","193403","148073","en","🔥🔗 Post Malone Shirts ⤵️","0","0","true","Negative","-0.800000011920929","No AIDS🚫
No Chlamydia🚫
No Crabs🚫
No Trichomoniasis🚫
No Gonorrhea🚫
No Hepatitis B🚫
No Herpes🚫
No HIV🚫
No Syphilis🚫
R… https://t.co/HUOyqJhIVV","aids","Bot","lmPosttMalone"
"1106710571334930432","0.1701324265302999","2019-03-16 00:15:36","0","104","128","en","true","0","0","true","Neutral","0","@Buttercupunicon @ErieMom @LadyShansa @Taliafe56564125 @_CG_ToyGal @WildHorses7781 @runaluck @sander1957… https://t.co/de5ruqM2Dh","aids","Human","mick719"
"1106752835344105473","0.15881746424200632","2019-03-16 03:03:33","0","2314","3308","en","true","0","0","true","Neutral","0","Sadistic Scott Lloyd.
#LockHimUp","aids","Human","slvrfnx"
"1106859912490086400","0.3551862170861128","2019-03-16 10:09:02","0","330","160","en","England, United Kingdom","0","0","true","Neutral","0.10000000149011612","Eps 119. The HIV and Aids Conspiracy https://t.co/5HbrVrD87o","aids","Human","robotsforeyes"
"1106679241150787585","0.19466773728450495","2019-03-15 22:11:06","0","68","221","en","Brooklyn, NY","0","0","true","Negative","-0.800000011920929","@morganhousel @RampCapitalLLC Stop believing that vaccines cause autism.","ecig","Human","matthewhprince"
"1106680401542766592","0.11956986651967942","2019-03-15 22:15:43","0","229","265","en","true","0","0","true","Neutral","0","16 Things To Know About NJ Legal Marijuana Bill Before Its Law https://t.co/PSgfoElArR","ecig","Human","Red_Rebel_01"
"1106690371398987776","0.8669901931103381","2019-03-15 22:55:20","0","22769","21246","en","Fighter🔝🔫Town, U.S.A.🇺🇸","0","0","true","Neutral","0","#TrueMAGA〽️🦅
BAYOR DIVISION ‘KNOWINGLY SOLD’ HIV-INFECTED PROTEIN:

In July 1982, haemophiliacs were becoming ill f… https://t.co/0q6WyvjipV","ecig","Bot","HotShot_78"
"1106695057380466689","0.11116719108518804","2019-03-15 23:13:57","0","9783","1820","en","Austin, Texas","0","0","true","Positive","0.5","22 great reasons to attend SXSW Conference programming on Sat, March 16. Some great panels and presentations coveri… https://t.co/qrZ5bOq8ca","ecig","Human","Hugh_W_Forrest"
"1106698343596650502","0.11116719108518804","2019-03-15 23:27:01","0","532","2132","en","true","0","0","true","Neutral","0","@mitchellvii @AOC You being born is the best argument to keep #abortion legal #AOC","ecig","Human","KwizDaHaderach"
"1106706865117904896","0.300816711527256","2019-03-16 00:00:52","0","3587","5001","en","United States","0","0","true","Negative","-0.30000001192092896","""If our country is to stand resolute in its fight against drugs, the legalization of marijuana is counterintuitive… https://t.co/IQKFD8iahQ","ecig","Human","DoNotGiveUpHope"
"1106709040879419392","0.07651310672792835","2019-03-16 00:09:31","0","4192","2907","en","Seattle, WA","0","0","true","Negative","-0.30000001192092896","Vice taxes like tobacco taxes are extremely regressive, hurting the poor more than the rich. https://t.co/PmUlF4CF3q","ecig","Human","eoionline"
"1106713196193333248","0.393746460000491","2019-03-16 00:26:02","0","226","172","fr","Saint-Hubert, Québec, Canada","0","0","true","Neutral","-0.10000000149011612","Ça ne rigole plus sur les planches montréalaise... Une autre amende pour une «fausse» cigarette fumée sur scène !… https://t.co/ZnFb3g8pSF","ecig","Human","christophecouet"
"1106721527893032960","0.23633691139538376","2019-03-16 00:59:08","0","1439","0","en","true","0","0","true","Positive","0.4000000059604645","The car cigarette lighter transitioning to the car mobile phone/electronic device charging port is one of the great… https://t.co/flK7u6Eo6z","ecig","Human","ShowerThoughtz1"
"1106726202650361857","0.021699646312393697","2019-03-16 01:17:43","0","1038","822","en","MIA","0","0","true","Neutral","0.10000000149011612","Welp time to go home","ecig","Human","mczx3"
"1106730793265565696","0.7081126267613624","2019-03-16 01:35:57","0","3308","1414","en","South Africa","0","0","true","Positive","0.4000000059604645","Cannabis Legalization Buzz Is a Smokescreen Masking Apartheid’s Legitimization https://t.co/NndpbFIkBG","ecig","Bot","DaggaMagazine"
"1106740569617907712","0.6729387518017023","2019-03-16 02:14:48","0","16172","2282","en","San Francisco","0","0","true","Positive","0.30000001192092896","More research needed ahead of pot legalization https://t.co/bYO0M1m5Nf https://t.co/EJnSXty3Ys","ecig","Bot","iStrainGuide"
"1106757008512843776","0.7248402160410153","2019-03-16 03:20:08","0","0","20","en","Albuquerque, NM","0","0","true","Neutral","0.10000000149011612","OlProspects dim for NM marijuana legalization bill https://t.co/VDHiZNCC9H #abq via @abqjournal","ecig","Bot","Robyn67906544"
"1106758342008098817","0.393746460000491","2019-03-16 03:25:25","0","542","226","en","Sky Lake, FL","0","0","true","Positive","0.5","This is amazing.  The fight for #LEGALIZATION #LegalizeAcrossAll50 continues on...","ecig","Human","BearBthe"
"1106762901367341056","0.06078011352084069","2019-03-16 03:43:33","0","365","491","en","California, USA","0","0","true","Negative","-0.30000001192092896","@AJEnglish 3/19 Rally 9a Sacto Capitol 10 &amp; L💋  I hate to run 4 President. ☀️The only reason I am running is bece n… https://t.co/CI3BmoUhqT","ecig","Human","paul_kangas"
"1106765287519649793","0.04447883217419818","2019-03-16 03:53:01","0","906","579","en","919 ✈️ 918","0","0","true","Positive","0.30000001192092896","Medical Marijuana is legal here I just........🤧","ecig","Human","sneaksRus"
"1106767827682365442","0.7713044789889335","2019-03-16 04:03:07","0","1346","1865","en","true","0","0","true","Neutral","0.10000000149011612","Toxic Levels Of Lead And Other Metals Found In E-Cigarette Vapor - 
Don't believe the propaganda hype!… https://t.co/UnLT0RM5Rd","ecig","Bot","smokerslogicksm"
"1106768956197486592","0.3551862170861128","2019-03-16 04:07:36","0","950","834","en","at_pepipjy94💕","0","0","true","Neutral","0","Hiv #ScrabbleDialogue","ecig","Human","Jinsolliie"
"1106770756862701568","0.05624491210051878","2019-03-16 04:14:45","0","2994","1742","en","Dribble down in VA","0","0","true","Positive","0.30000001192092896","Big reach","ecig","Human","TheReal_DashO"
"1106794521080270848","0.5361761477678701","2019-03-16 05:49:11","0","388","37","en","true","0","0","true","Neutral","0","#vapingsaveslives #ivapeivote This just in..: DeKalb County merchants react as 'Tobacco 21' bill sent to Gov. Pritz… https://t.co/f7j3nmJ7o0","ecig","Bot","vapechannel"
"1106797475900252161","0.926458400140048","2019-03-16 06:00:56","0","8","72","en","true","0","0","true","Positive","0.4000000059604645","electronic e cig cigarette 65W 3000mAh Box Mod Starter Kit Pen Vape Shisha
@AmazonUK https://t.co/DQgG1DmVJi","ecig","Bot","hiranitinku"
"1106819848472944640","0.7248402160410153","2019-03-16 07:29:50","0","3308","1414","en","South Africa","0","0","true","Neutral","0.20000000298023224","NM marijuana legalization effort unlikely to pass in 2019 session https://t.co/T9XnPIPBKt","ecig","Bot","DaggaMagazine"
"1106831865632165888","0.8929942165253121","2019-03-16 08:17:35","0","2916","4411","en","true","0","0","true","Neutral","0.10000000149011612","(CA: Bureau of Cannabis Control  Update Events Fact Sheet) - Legal Weed Resources - https://t.co/MrgDDg11ty -- 420 https://t.co/fG0AbznKOH","ecig","Bot","mpstartup"
"1106840806005051392","0.9369230763705965","2019-03-16 08:53:06","0","252","238","en","Hollywood, FL","0","0","true","Positive","0.4000000059604645","You too can learn about: Indigenous Cannabis: Revitalizing First-Nation Economies Through Legalization,… https://t.co/fL4JNfjUg0","ecig","Bot","CBDediblecandy"
"1106864138582740994","0.5967761711282766","2019-03-16 10:25:49","0","1538","1931","en","PA","0","0","true","Neutral","0","Pennsylvania Gov. Tom Wolf has received 21,000 messages about marijuana legalization since late January https://t.co/KccZA58nZv","ecig","Bot","blamom"
"1106875936702640130","0.6545596461071505","2019-03-16 11:12:42","0","205","700","en","@kapkan2limited is my main","0","0","true","Neutral","0.20000000298023224","12. Pot once or twice(It’s legal here)","ecig","Bot","KapkanR69"
"1106693723474313216","0.15881746424200632","2019-03-15 23:08:39","0","838","1543","en","United States","0","0","true","Neutral","0.20000000298023224","You are actually an idiot if you haven't studied vaccine issues.","vaccine","Human","hornswaggled2"
"1106767452807946241","0.8762045479593887","2019-03-16 04:01:38","0","4045","2242","en","earth","0","0","true","Negative","-0.4000000059604645","Marijuana Stocks Must Solve This Problem To Win $80 Billion Jackpot https://t.co/jSNHU2x7Ew via @IBDinvestors","vaccine","Bot","thankscannabis"
"1106673445499076608","0.6729387518017023","2019-03-15 21:48:05","0","2491","3567","en","Edna, CA","0","0","true","Neutral","0","@realDonaldTrump @OANN @foxandfriends @POTUS How can this be Legal? https://t.co/GSbczHybRC #MAGA #AmericaFirst… https://t.co/7B2aZBC8xz","weed","Bot","fercrishart"
"1106677803955703814","0.7990584410047699","2019-03-15 22:05:24","0","298","853","en","Melbourne, Australia.","0","0","true","Positive","0.4000000059604645","States Are Approving Cannabis to Fight Opioid Addiction: Risky Maneuver So far, two U.S. states, New York and Illin… https://t.co/VUUOGalScn","weed","Bot","Towards2100"
"1106684025039671297","0.7248402160410153","2019-03-15 22:30:07","0","669","1087","en","Denver, CO","0","0","true","Neutral","0","Senator Cory Booker first proposed the Marijuana Justice Act to streamline widespread changes to #cannabis law in t… https://t.co/ZmyH8G11lQ","weed","Bot","cannamarketing"
"1106684750087909376","0.029913823351421277","2019-03-15 22:33:00","0","3113843","644","en","Englewood Cliffs, NJ","0","0","true","Positive","0.30000001192092896","“It’s clear this market is going to expand. And as it does, lawmakers in Washington have to look up and realize tha… https://t.co/CdpfHH8f5m","weed","Human","CNBC"
"1106690165009989633","0.23633691139538376","2019-03-15 22:54:31","0","1224","1566","en","Edinburgh","0","0","true","Neutral","-0.10000000149011612","@xorbesgoddess @NoTurnUnstonedd Yeah you're alright, but the person who made this post is from Wales. Weed isn't le… https://t.co/sfRValE1R4","weed","Human","ItsJamieMateee"
"1106692212258009088","0.0825396626774012","2019-03-15 23:02:39","0","216","591","en","Antelope Valley, Ca","0","0","true","Neutral","0.20000000298023224","Lord, I pray that a generation of young people will demand that this mass murder of infanticide in New York will be… https://t.co/igaYSrMO7J","weed","Human","austentatious24"
"1106692871946674176","0.041106740219567735","2019-03-15 23:05:16","0","59","166","en","true","0","0","true","Neutral","0","@JChilds916 @andyholloway not trying to stir the pot but honest question as a recent first time dad.  If my son fal… https://t.co/J3CVjrISa5","weed","Human","H_H_H_uss"
"1106697283389796354","0.1285158337598371","2019-03-15 23:22:48","0","565","711","en","true","0","0","true","Neutral","0","100% agree","weed","Human","fenixrzg"
"1106697760470777856","0.07651310672792835","2019-03-15 23:24:42","0","348","579","en","the north pandhandle","0","0","true","Neutral","0","#FollowTheMoney https://t.co/hj7TOlok2j","weed","Human","TwiceBornSpirit"
"1106703619078963200","0.33655519548719853","2019-03-15 23:47:59","0","145","195","en","Michigan, USA","0","0","true","Neutral","-0.10000000149011612","People just don’t think this way.   Most don’t even know how hard the test actually is.  We are the melting pot if… https://t.co/DsKYjqDoxr","weed","Human","RealOneNutMan"
"1106707856307470336","0.05202936550695904","2019-03-16 00:04:49","0","1396","2187","en","Texas","0","0","true","Positive","0.4000000059604645","@justinvondoom @corpsecicada Bong rips and Middle Earth is pretty much right in my wheelhouse. 

Thank you for this. Much appreciate.","weed","Human","xAdamAcidx"
"1106709755341537281","0.26734400306340506","2019-03-16 00:12:22","0","17031","9707","en","North Carolina, USA","0","0","true","Neutral","0","I don't want to die until it is legal to have weed delivered with your pizza.","weed","Human","crymeariver6666"
"1106710913808101376","0.13802618960216584","2019-03-16 00:16:58","0","3058","2849","en","true","0","0","true","Negative","-0.8999999761581421","An attack on women’s right to reproductive health care, this administration banned Title X health care providers fr… https://t.co/iAF48jTcnA","weed","Human","marsha_vivinate"
"1106712339162820608","0.19466773728450495","2019-03-16 00:22:38","0","4588","4355","en","NC","0","0","true","Neutral","-0.10000000149011612","@chanwalling @pookietooth @mike_peinsipp @JRuth7 @PPact So, if you find that you are pregnant, what is the problem?… https://t.co/4Ob5R1QSmQ","weed","Human","rolliby"
"1106713976648409088","0.15881746424200632","2019-03-16 00:29:08","0","9513","4954","en","Jersey/Philly","0","0","true","Neutral","0","New Jersey's future of cannabis = micro business operators who grow or purchase from wholesales...then deliver to y… https://t.co/M5fcmmwZog","weed","Human","freedomisgreen"
"1106714822396260352","0.6164280626387617","2019-03-16 00:32:30","0","69","9","en","South East US","0","0","true","Neutral","0","It's about damned time Florida. 

Thank you John Morgan and Governor Ron DeSantis 

Smokeable Medical Marijuana now… https://t.co/uZUXDDh7NF","weed","Bot","Eschatology101"
"1106717360990216193","0.10328573467123618","2019-03-16 00:42:35","0","9354","419","en","Bangkok, Thailand","0","0","true","Neutral","0","The 2020 Democratic presidential candidates broadly support legalizing marijuana.

Now @AndrewYangVFA is tilting to… https://t.co/amcek2aJO4","weed","Human","pwinn5"
"1106719860371976193","0.07089257330076087","2019-03-16 00:52:31","0","22","57","en","Colonia, NJ","0","0","true","Negative","-0.30000001192092896","@RussKamer @nj1015 What exactly did y’all expect from governor asshat???  He TOLD you what he was gonna do.. and al… https://t.co/iIY9WmfL5Q","weed","Human","gibbercat11"
"1106720981463302144","0.18207903130928815","2019-03-16 00:56:58","0","6724","7355","en","United States","0","0","true","Negative","-0.699999988079071","#health Lawsuit Claimed Merck Overstated Mumps Vaccine Effectiveness: US Military Preparedness Takes The Hit – AGE… https://t.co/54IFUIEc4E","weed","Human","defendressofsan"
"1106721580237770752","0.15881746424200632","2019-03-16 00:59:21","0","618","701","en","Vancouver Isle","0","0","true","Neutral","0","@JustinTrudeau  ......wanna make a difference?","weed","Human","digitaldannyboy"
"1106722549159874560","0.07089257330076087","2019-03-16 01:03:12","0","387","361","en","Dallas TX 214 YesSirAlreadyBro","0","0","true","Neutral","-0.10000000149011612","They also could pay for college with a minimum wage job.","weed","Human","Mal2G"
"1106725760180453377","0.23633691139538376","2019-03-16 01:15:57","0","226","361","en","Ashland, Oregon","0","0","true","Neutral","0","@theVNGOC What if #Cannabis #hemp is essential for human survival? How would that change mankind's ""drug"" policy? T… https://t.co/2R71ROzfCG","weed","Human","projectpeace"
"1106728427393040385","0.11956986651967942","2019-03-16 01:26:33","0","275","376","en","Statesboro, Georgia","0","0","true","Neutral","0","@maddow right now -  Scott Lloyd keeping spreadsheets of pregnant girls in order to prevent pregnant teens from obt… https://t.co/sBSerrOQXT","weed","Human","GerriRawls"
"1106729689933062144","0.300816711527256","2019-03-16 01:31:34","0","1387","1337","en","bts|demi|lay|txt♡","0","0","true","Neutral","-0.20000000298023224","1. everyone has the right to their own body, if someone wants to get an abortion then they should be allowed to get… https://t.co/6gZs0u8Hy1","weed","Human","trivialovato"
"1106730451991969793","0.05202936550695904","2019-03-16 01:34:36","0","228","59","en","FEMA Region I","0","0","true","Neutral","0","@AnnCoulter @RealJamesWoods @TuckerCarlson @libertytarian @michellemalkin @AnthonyCumiaCM1 @BestCloserShow… https://t.co/DxfAVMBTd8","weed","Human","RailroadedorNot"
"1106733230483521536","0.10328573467123618","2019-03-16 01:45:38","0","2164","2028","en","true","0","0","true","Positive","0.4000000059604645","Goodness me, this madness has got to stop! The director of the Office of Refugee Resettlement has  spreadsheets to… https://t.co/Z2Mq9Zscwx","weed","Human","laseptiemewilay"
"1106735382597517312","0.4336774335329319","2019-03-16 01:54:12","0","232","86","en","भारत","0","0","true","Negative","-0.6000000238418579","#Shubhdevi
Prostitution apart from being a social evil, commodifying women is also responsible for several health d… https://t.co/5puNXT3zX9","weed","Human","baldevinsan1"
"1106737533642170369","0.04447883217419818","2019-03-16 02:02:44","0","1211","2192","en","United States","0","0","true","Negative","-0.6000000238418579","@JeaneneOlson3 @DoinTimeOnEarth @wvjoe911 All the tweet said was that Boomers were the only generation that wasn’t… https://t.co/xeNExcfG0Z","weed","Human","WeAreRosie"
"1106741395916615681","0.11956986651967942","2019-03-16 02:18:05","0","30","98","en","true","0","0","true","Neutral","0.10000000149011612","@nytimes 2 1/2 years ago I had a heart attack. After 50 years of smoking I was able to quit by switching to vaping… https://t.co/qSE04CKToa","weed","Human","JeanSutherland6"
"1106741866064691200","0.11956986651967942","2019-03-16 02:19:57","0","283","405","en","true","0","0","true","Neutral","-0.20000000298023224","Is HE getting AIDS meds in prison???","weed","Human","ICanBeYourEyes"
"1106742601762377728","0.15881746424200632","2019-03-16 02:22:53","0","2140","2978","en","true","0","0","true","Neutral","0","One major point of this 2018 article is the inside-agencies infiltration of the rightwing religious extremists, who… https://t.co/yf7p7awOXf","weed","Human","memnosoncos"
"1106746810935185408","0.19466773728450495","2019-03-16 02:39:36","0","13","65","en","Jacksonville, Fl","0","0","true","Positive","0.5","@SJSchauer As a professional in the medical world, I can confirm that the link between autism and vaccines is *ahem… https://t.co/ijYr5Ejo18","weed","Human","DOHCtim"
"1106756221095301120","0.49505756400804624","2019-03-16 03:17:00","0","72","90","en","true","0","0","true","Neutral","0.20000000298023224","Namaste finalise l'acquisition de Pineapple Express Delivery par actions – Cannabis News | Nouvelles de la marijuan… https://t.co/EUt1lRyOSE","weed","Human","thclegal1"
"1106756314884124672","0.25152334764543","2019-03-16 03:17:22","0","4123","3930","en","United States","0","0","true","Negative","-0.5","Brigitte Amiri, attorney for a girl who fought ORR to exercise her right to an abortion, and won, talks with… https://t.co/mokvu81YBe","weed","Human","FightFakeNews4"
"1106756336598032384","0.3742667881821624","2019-03-16 03:17:27","0","109","107","en","Reply as possible","0","0","true","Neutral","0.10000000149011612","What would you do if you become a president? — Make sure weed is legal,Everyone will get the N-word pass,Deport ill… https://t.co/F5E0QIjGLh","weed","Human","EmiliaElf1"
"1106757310700052480","0.11956986651967942","2019-03-16 03:21:20","0","22","132","en","true","0","0","true","Neutral","0","@SarahKSilverman When weed passes for national legalization, it should be a 420-0 vote.","weed","Human","UhOhFinellio"
"1106760291348549632","0.032398754737074244","2019-03-16 03:33:10","0","972","371","en","Boston, MA","0","0","true","Positive","0.5","Ah yes Kentucky would be more worried about fighting a right protected by the federal government than they would be… https://t.co/epBoNTCHSR","weed","Human","wjpatton18"
"1106763570140737537","0.06078011352084069","2019-03-16 03:46:12","0","1475","1590","en","Southern California","0","0","true","Neutral","-0.20000000298023224","Beyond angry right now.","weed","Human","ImWithHer62"
"1106765433821167616","0.22179568769021463","2019-03-16 03:53:36","0","538","454","en","Virginia, USA","0","0","true","Neutral","0","@MacDhomnuill @luke_j_obrien The people that DO that job and screw up. Get that CoM. Now, normally they'd probably… https://t.co/6tTwIjQZT7","weed","Human","HauptmannHansa"
"1106781582868779008","0.029913823351421277","2019-03-16 04:57:47","0","164428","1147","en","true","0","0","true","Neutral","0","The FDA proposes new measures to crackdown on an ""epidemic-level rise in youth e-cigarette use""… https://t.co/oSVQ62D0f5","weed","Human","ThisWeekABC"
"1106782101712584704","0.04811366570775446","2019-03-16 04:59:50","0","1556","1367","en","Chicago, IL","0","0","true","Positive","0.4000000059604645","@DaniTheDemon60 @AxellianYT Legal weed","weed","Human","kevin_krust"
"1106788639520915456","0.23633691139538376","2019-03-16 05:25:49","0","79","58","en","lost in space","0","0","true","Neutral","0","@MassRoots @realDonaldTrump it's time to put a stop to this. Do what the Democrats didn't, legalizing medical canna… https://t.co/IKXtBDM5lD","weed","Human","xStonedGuyx"
"1106793379981979648","0.10328573467123618","2019-03-16 05:44:39","0","5440","5694","en","Great Southwest","0","0","true","Neutral","0.10000000149011612","@nowhitechalk @coton_luver But in the case of Russia &amp; the far right, republicans were attracted because the Russia… https://t.co/LQl79Mms4D","weed","Human","KHShan"
"1106804157292281856","0.15881746424200632","2019-03-16 06:27:29","0","330","603","en","Enumclaw, WA","0","0","true","Neutral","0.20000000298023224","That was also one of my thoughts.  But Scott Lloyd has proven in the past how anti-abortion and even anti-contracep… https://t.co/MilIVqFlbW","weed","Human","dkdkwoods"
"1106806051511296001","0.18207903130928815","2019-03-16 06:35:00","0","4344","4979","en","true","0","0","true","Neutral","0","@AndreinMD @gatewaypundit I do not believe God is happy that abortion is legal.  If you vote for someone who believ… https://t.co/XLxj07JXAY","weed","Human","vicksiern"
"1106808062659231744","0.08899515596679244","2019-03-16 06:43:00","0","102","201","en","true","0","0","true","Negative","-0.30000001192092896","@LongTimeAVFC @holteendersview @David__Osland The far left is as equally dangerous. Stalin, Mao, Pol Pot. They kill… https://t.co/Qz2SbIpdfJ","weed","Human","londonjimmya"
"1106813697320579072","0.7248402160410153","2019-03-16 07:05:23","0","16249","9186","en","Accra, Ghana","0","0","true","Neutral","0.20000000298023224","Samini calls for legalization of weed | Monte Oz Live https://t.co/JmTjNSBhnb","weed","Bot","MonteOzAfrica"
"1106821141895806977","0.28378247513569405","2019-03-16 07:34:58","0","162","215","en","true","0","0","true","Neutral","-0.10000000149011612","Some KTN ,NTV  employees had to switch off their respective stations to watch the mighty doings oh the LORD YAWEH A… https://t.co/Oc7a8JAqhE","weed","Human","ALengerded"
"1106827739326111744","0.09590276214117437","2019-03-16 08:01:11","0","124","357","en","Verbum Dei caro factum est","0","0","true","Negative","-0.30000001192092896","@blueecastle @EWTNProLife @EWTNews @BishopSeitz @elpasodiocese No abortion took place. The child was not considered… https://t.co/9UJQ6p7USb","weed","Human","whomJesusLoved"
"1106830435529773056","0.18207903130928815","2019-03-16 08:11:54","0","420","612","en","true","0","0","true","Neutral","0","@nazani14 @MaddowBlog {""...ur umm Google the VIDEO and educate yourself! @MaddowBlog MSNBC re: 

Trump Administrati… https://t.co/NNh1zoDzK1","weed","Human","DrCoopDaScoop"
"1106841384026279936","0.041106740219567735","2019-03-16 08:55:24","0","6205","1014","en","true","0","0","true","Neutral","0","Don’t forget. Once weed becomes legal the price will plummet. It’s only that high because of the risk factor. Illeg… https://t.co/VV5gav8GQz","weed","Human","S_2Ch"
"1106842417804644352","0.06565556198004287","2019-03-16 08:59:31","0","888","1167","en","GNG | CGY ","0","0","true","Negative","-0.6000000238418579","Bong Revilla is having his campaign parade here in CDO right now and he's throwing candies and shirts with his fucking face","weed","Human","pauliglot"
"1106856073674121216","0.3742667881821624","2019-03-16 09:53:47","0","2313","2406","en","अपनी सनक में","0","0","true","Neutral","-0.20000000298023224","Liberalism is AIDS and LEFT wingers are HIV infected who carry it. #MainBhiChowkidar","weed","Human","iKapil__"
"1106859765781725184","0.04447883217419818","2019-03-16 10:08:27","0","254","601","en","United Kingdom","0","0","true","Neutral","0.10000000149011612","Men pay for their right to choose. Her body your wallet. Seems fair to me.","weed","Human","NYCRodney"
"1106864622848671744","0.1285158337598371","2019-03-16 10:27:45","0","1051","93","en","Philadelphia PA","0","0","true","Positive","0.30000001192092896","Amazon mum on what it will do with upcoming anti-vaxxer book https://t.co/WhxT0YWt3y","weed","Human","SPSalisbury"
"1106869060552347649","0.22179568769021463","2019-03-16 10:45:23","0","3285","0","en","East Coast, USA","0","0","true","Negative","-0.5","RT Toronto1
""#maddow"" is trending because she did a story on psycho #ScottLloyd &amp; #Trump admin denying young rape v… https://t.co/59vRI0ibbq","weed","Human","Seekandfind"
"1106870783018700801","0.3742667881821624","2019-03-16 10:52:13","0","1239","372","en","Ohio","0","0","true","Neutral","0.10000000149011612","Always looking for that pot of gold at the end of the rainbow? Watch this brief slideshow and learn how the gold is… https://t.co/gYsEeQ8LRj","weed","Human","fredachaney"
"1106873828309778432","0.1701324265302999","2019-03-16 11:04:20","0","0","16","en","true","0","0","true","Neutral","0.10000000149011612","@MissionWinnow No more smoking, vaping or any other kind of ""innovations"" which allow the use of tobacco in any form.","weed","Human","BrianSMcL"
"1106874990429900800","0.0825396626774012","2019-03-16 11:08:57","0","107","387","en","Ontario, CA","0","0","true","Neutral","0","@thegoodgodabove Being Neighbors of the US and after living with Trumps Presidency since Jan 2017. 
Canada legalize… https://t.co/UTdJbHwum1","weed","Human","lindalouiseann"
